province,split,month,h,actual,stage1_mean,stage1_se,stage2_zhat,stage2_correction,stage2_abstained,final_mean_unclipped,final_mean,final_se,crps,fit_failed,error
LA-SL,2,2008-07,1,78.0,248.22334877599627,18.892039224304572,-0.8852906389551768,-16.724945476050856,False,231.4984032999454,231.4984032999454,18.892039224304572,142.83971155761714,False,
LA-SL,2,2008-08,2,63.0,243.29510466031275,33.938530951825236,-1.2181388773147106,-41.34184399136695,False,201.9532606689458,201.9532606689458,33.938530951825236,119.805813088662,False,
LA-SL,2,2008-09,3,85.0,244.52603183755488,42.665844836416404,-1.4779957797596155,-63.05993860810203,False,181.46609322945284,181.46609322945284,42.665844836416404,72.74453344382859,False,
LA-SV,2,2008-07,1,11.0,68.48153230416375,212.66465118739603,0.6238227223474108,132.6650416507839,False,201.14657395494766,201.14657395494766,212.66465118739603,113.34240570497131,False,
LA-SV,2,2008-08,2,4.0,57.324095448401025,324.8812039372836,0.47475542363583123,154.23911360656396,False,211.563209054965,211.563209054965,324.8812039372836,127.0981671666624,False,
LA-SV,2,2008-09,3,2.0,71.75182342727561,408.3002468181691,0.34749064382601935,141.8805156411682,False,213.6323390684438,213.6323390684438,408.3002468181691,138.225394991419,False,
LA-VT,2,2008-07,1,132.0,118.13656938690869,151.27480616496433,0.47007127650689273,71.10994123729755,False,189.24651062420622,189.24651062420622,151.27480616496433,43.89302326605268,False,
LA-VT,2,2008-08,2,144.0,122.37915075288159,219.55824536828024,0.25904894904291875,56.87633271636028,False,179.25548346924188,179.25548346924188,219.55824536828024,53.563285465463004,False,
LA-VT,2,2008-09,3,158.0,144.61899619116025,271.6274270518166,0.08478743949324417,23.030594035861494,False,167.64959022702175,167.64959022702175,271.6274270518166,63.614709461607575,False,
LA-XA,2,2008-07,1,19.0,15.197158160638157,43.25967673630774,0.4593279532384458,19.87037877304504,False,35.0675369336832,35.0675369336832,43.25967673630774,12.463385740911914,False,
LA-XA,2,2008-08,2,7.0,16.515420915422165,45.63149741861225,0.26181115375878367,11.946834986907831,False,28.462255902329996,28.462255902329996,45.63149741861225,14.618356514442636,False,
LA-XA,2,2008-09,3,1.0,18.43408256951937,45.9158919647441,0.14276068462143632,6.554984171890774,False,24.98906674141014,24.98906674141014,45.9158919647441,15.619652091342658,False,
LA-XE,2,2008-07,1,0.0,2.363495274936344,1.9169836747593176,0.199509137185068,0.38245575894909245,False,2.7459510338854365,2.7459510338854365,1.9169836747593176,1.7952487444050542,False,
LA-XE,2,2008-08,2,0.0,1.443838621998147,2.058512759019054,0.16220348168564083,0.3338979366072051,False,1.7777365586053522,1.7777365586053522,2.058512759019054,1.0581375833658953,False,
LA-XE,2,2008-09,3,1.0,1.1231430416290955,2.0807165322600887,0.13388311740555753,0.278572815776262,False,1.4017158574053574,1.4017158574053574,2.0807165322600887,0.5170983039697454,False,
LA-XI,2,2008-07,1,0.0,0.043968473417595244,0.24702529578164856,0.58474595143568,0.14444704161052035,False,0.1884155150281156,0.1884155150281156,0.24702529578164856,0.11243535517262336,False,
LA-XI,2,2008-08,2,0.0,0.044872099434760726,0.24702337571896596,0.4113967665545776,0.10162461803417915,False,0.14649671746893989,0.14649671746893989,0.24702337571896596,0.09140685534273446,False,
LA-XI,2,2008-09,3,0.0,0.04487124534160982,0.24702337764739754,0.32952903083928886,0.08140137423079456,False,0.12627261957240438,0.12627261957240438,0.24702337764739754,0.08293249268757508,False,
