model,against,split_first_period,n_cells,mean_diff,crps_model,crps_against
persistence,reference,200901,48,11.173162916666667,16.822697104166668,5.6495341875
persistence,reference,200904,48,-5.6523584895833325,19.039242229166668,24.69160071875
persistence,reference,200907,47,-10.95396852659575,45.428911,56.382879526595744
persistence,reference,200910,48,13.365350895833332,37.81606260416667,24.450711708333333
persistence,reference_r1,200801,45,0.3854128444444443,6.611819177777777,6.226406333333333
persistence,reference_r1,200804,45,1.0152170444444442,20.304079,19.288861955555554
persistence,reference_r1,200807,45,11.132709333333331,33.16028768888889,22.02757835555556
persistence,reference_r1,200810,45,2.4390493111111122,19.002294022222223,16.56324471111111
persistence,reference_r1,200901,48,11.120454500000001,16.822697104166668,5.702242604166667
persistence,reference_r1,200904,48,-5.4689999375000005,19.039242229166668,24.508242166666665
persistence,reference_r1,200907,47,-11.940164702127666,45.428911,57.36907570212767
persistence,reference_r1,200910,48,13.622475416666665,37.81606260416667,24.1935871875
persistence,reference_r2,200801,45,1.6960118222222218,6.611819177777777,4.915807355555556
persistence,reference_r2,200804,45,1.0008931777777776,20.304079,19.303185822222222
persistence,reference_r2,200807,45,11.197503599999996,33.16028768888889,21.962784088888895
persistence,reference_r2,200810,45,1.197066088888891,19.002294022222223,17.80522793333333
persistence,reference_r2,200901,48,11.188065208333335,16.822697104166668,5.6346318958333335
persistence,reference_r2,200904,48,-5.584667145833335,19.039242229166668,24.623909375
persistence,reference_r2,200907,47,-10.67911114893617,45.428911,56.10802214893617
persistence,reference_r2,200910,48,13.401749812499999,37.81606260416667,24.414312791666664
persistence,reference_r3,200801,45,1.7345771555555558,6.611819177777777,4.877242022222222
persistence,reference_r3,200804,45,1.1254068666666672,20.304079,19.178672133333333
persistence,reference_r3,200807,45,11.911199555555559,33.16028768888889,21.24908813333333
persistence,reference_r3,200810,45,1.2757299333333347,19.002294022222223,17.72656408888889
persistence,reference_r3,200901,48,11.1965948125,16.822697104166668,5.626102291666666
persistence,reference_r3,200904,48,-5.836431604166666,19.039242229166668,24.875673833333334
persistence,reference_r3,200907,47,-10.532437404255322,45.428911,55.96134840425532
persistence,reference_r3,200910,48,13.116076166666666,37.81606260416667,24.6999864375
persistence,reference_r4,200801,45,1.6990970888888888,6.611819177777777,4.912722088888889
persistence,reference_r4,200804,45,0.8160818000000019,20.304079,19.4879972
persistence,reference_r4,200807,45,11.178467155555554,33.16028768888889,21.981820533333334
persistence,reference_r4,200810,45,1.33143808888889,19.002294022222223,17.670855933333335
persistence,reference_r4,200901,48,11.187537145833334,16.822697104166668,5.6351599583333325
persistence,reference_r4,200904,48,-5.719335270833334,19.039242229166668,24.7585775
persistence,reference_r4,200907,47,-10.664160851063833,45.428911,56.09307185106383
persistence,reference_r4,200910,48,13.321102187499998,37.81606260416667,24.494960416666668
