weighting,location,time_period,weight
cases,LA-XE,200804,0.0
cases,LA-XE,200805,0.0
cases,LA-XE,200806,5.0
cases,LA-XE,200807,0.0
cases,LA-XE,200808,0.0
cases,LA-XE,200809,1.0
cases,LA-XE,200810,0.0
cases,LA-XE,200811,0.0
cases,LA-XE,200812,1.0
cases,LA-XE,200901,0.0
cases,LA-XE,200902,2.0
cases,LA-XE,200903,2.0
cases,LA-XE,200904,1.0
cases,LA-XE,200905,2.0
cases,LA-XE,200906,9.0
cases,LA-XE,200907,29.0
cases,LA-XE,200908,27.0
cases,LA-XE,200909,6.0
cases,LA-XE,200910,7.0
cases,LA-XE,200911,3.0
cases,LA-XE,200912,7.0
cases,LA-XI,200801,0.0
cases,LA-XI,200802,0.0
cases,LA-XI,200803,0.0
cases,LA-XI,200804,0.0
cases,LA-XI,200805,0.0
cases,LA-XI,200806,1.0
cases,LA-XI,200807,0.0
cases,LA-XI,200808,0.0
cases,LA-XI,200809,0.0
cases,LA-XI,200810,0.0
cases,LA-XI,200811,0.0
cases,LA-XI,200812,0.0
cases,LA-XI,200901,0.0
cases,LA-XI,200902,0.0
cases,LA-XI,200903,0.0
cases,LA-XI,200904,0.0
cases,LA-XI,200905,39.0
cases,LA-XI,200906,33.0
cases,LA-XI,200907,1.0
cases,LA-XI,200908,10.0
cases,LA-XI,200909,0.0
cases,LA-XI,200910,0.0
cases,LA-XI,200911,0.0
cases,LA-XI,200912,0.0
